ISO3;2020-2039;2040-2059;2060-2079;2080-2099
ARE;118.2937498;134.2999983;153.5437508;170.6312523
AND;0;0;0;0
AGO;1.197572812;4.084951427;9.427184399;20.09126205
ATA;0;0;0;0
ARG;3.802909095;6.512909083;11.134;17.2921818
AFG;34.89062508;44.43671889;55.97343724;69.82265619
ATG;0;0;0;0
AIA;0;0;0;0
ALB;0.133333335;0.900000018;4.566666722;16.14999994
ARM;0.050000002;0.399999996;2.250000016;10.09999998
ASM;0;0;0;0
AUT;0.066666668;0.241666667;0.837500015;2.762499958
AUS;34.44957202;44.60271039;60.55406567;81.45271026
AZE;3.222222169;6.094444566;13.42777791;26.10555526
ABW;0;0;0;0
BIH;0.357142864;1.342857105;4.492857179;13.5857141
BEL;0.0125;0.050000002;0.300000004;1.07499997
BRB;0;0;0;0
BGD;9.196428549;14.49642852;23.12499979;38.2249999
BFA;56.18913091;85.75652081;117.767391;157.2195663
BMU;0;0;0;0
BRN;0;0;0;0
BGR;0.727272719;2.777272741;9.868181701;20.78636363
BHR;0;0;0;0
BDI;0;0;0;0
BEN;25.28333351;45.40000039;70.44999981;102.705555
BLM;0;0;0;0
BOL;6.51129036;15.35537628;32.50860212;54.14838707
BRA;9.041525423;19.78206218;39.23488697;65.88975992
BHS;0;0;0;0
BWA;13.416;28.56999979;53.90999989;86.15199997
BLR;0.117857145;0.49821429;1.698214287;3.898214289
BLZ;0.299999997;1.150000006;2.850000024;11.85000014
CAN;0.009130945;0.032530828;0.126335878;0.431561951
BTN;0;0;0;0
BVT;0;0;0;0
CCK;0;0;0;0
CAF;6.119387742;12.76224484;24.97857158;42.86326521
COG;0;0.021153847;0.246153846;1.503846151
CHE;0;0;0.0125;0.3875
CIV;4.403846142;14.81538459;29.62884653;49.82115393
COK;0;0;0;0
CHL;0;0.000588235;0.004705883;0.024705882
COD;0.050263158;0.280000002;1.770526315;8.502631568
CPT;0;0;0;0
CRI;0;0;0;0
COL;0.685567006;3.14536082;11.94793806;27.53195883
CMR;9.135526351;13.63157893;18.44078949;28.59342118
CHN;1.785662151;3.442075068;6.673357644;11.84895727
DNK;0;0;0;0
DMA;0;0;0;0
ERI;37.74000025;63.94500084;90.96499954;125.0699986
ESP;3.006603784;6.453773672;14.09811322;26.20377343
DOM;0;0;0;0
DZA;94.12061607;111.4016591;129.4189577;148.9113749
