ISO3;DAYS
ATG;0
DZA;148.9113749
AZE;26.10555526
ALB;16.14999994
ARM;10.09999998
AGO;19.73970587
ASM;0
ARG;17.56799998
AUS;81.56907127
BHR;0
BRB;0
BMU;0
BHS;0
BGD;38.22499991
BLZ;11.85000014
BIH;13.5857141
BOL;54.14838707
MMR;22.96403508
BEN;102.705555
SLB;0
BRA;65.9389362
BGR;20.78636364
BRN;0
KHM;42.10625035
LKA;0.424999998
COG;1.429629626
COD;8.525132264
BDI;0
CHN;11.87424086
AFG;69.82265619
BTN;0
CYM;0
CMR;30.26625008
TCD;188.2004763
COM;0
COL;27.53195883
CRI;0
CAF;43.80399994
CUB;0.291666668
CPV;0
COK;0
CYP;1.224999965
DNK;0
DJI;136.699997
DMA;0
DOM;0
ECU;8.779999935
EGY;130.0548917
IRL;0
GNQ;0
EST;0.23333334
ERI;129.2181803
SLV;1.25
ETH;33.92445667
AUT;2.762499958
CZE;3.13888889
GUF;2.885714264
FIN;0.000847458
FJI;0
FLK;0
FSM;0
PYF;0
FRA;6.94104475
GMB;0
GAB;0.036956522
GEO;4.381250106
GHA;64.46818179
GRD;0
GRL;0
DEU;1.470454538
GUM;0
GRC;17.5718749
GTM;24.16111109
GIN;70.27380951
GUY;27.41000021
HTI;0
HND;0.877777762
HRV;17.1916666
HUN;23.88636355
ISL;0
IND;86.71159427
IRN;106.1532257
ISR;79.66666539
ITA;7.337837838
CIV;49.82115393
IRQ;151.7294881
JPN;0
JAM;0
JOR;100.8785716
KEN;25.11170203
KGZ;1.405555582
PRK;0.022727273
KIR;0
KOR;0.015
KWT;174.3999939
KAZ;31.06009169
LAO;27.53499963
LBN;7.19999981
LVA;0.650000001
BLR;3.89821429
LTU;1.327777777
LBR;8.388888862
SVK;7.058333315
LIE;0
LBY;134.37585
MDG;1.661764703
MTQ;0
MNG;7.787567596
MSR;0
MKD;16.11666648
MLI;209.4514286
MAR;54.10256438
MUS;0
MRT;201.2868425
MLT;0
OMN;88.46296136
MDV;0
MEX;53.49194438
MYS;0.058000002
MOZ;30.85362319
MWI;14.57500005
NCL;0
NIU;0
NER;207.7534998
ABW;0
AIA;0
BEL;1.07499997
HKG;0
MNP;0
FRO;0
AND;0
GIB;0
IMN;0
LUX;1.79999995
MAC;0
MCO;0
PSE;0
MNE;1.74999994
MYT;0
ALA;0
NFK;0
CCK;0
ATA;0
BVT;0
ATF;0
HMD;0
IOT;0
CXR;0
UMI;0
VUT;0
NGA;85.2782892
NLD;0.225000005
NPL;17.50000046
NRU;0
SUR;22.06363635
NIC;2.436363615
NZL;0
PRY;60.85571425
PER;20.03990817
PAK;114.6962967
POL;3.080487808
PAN;0
PRT;21.59374988
PNG;0.404285719
GNB;41.34999979
QAT;174.1000061
REU;0
ROU;20.9125
MDA;20.30000019
PHL;0.024193549
PRI;0
RWA;0
SAU;155.3862067
KNA;0
SYC;0
ZAF;32.85394736
LSO;0.162500003
BWA;85.97346933
SEN;182.5147048
SVN;4.824999925
SLE;24.26999984
SGP;0
SOM;56.51400001
ESP;26.20377343
LCA;0
SDN;170.0130953
SWE;0.001948052
SYR;105.0900002
CHE;0.3875
TTO;0
THA;54.16071438
TJK;20.4538458
TKL;0
TON;0
TGO;61.64999962
STP;0
TUN;75.72999967
TUR;30.12283942
TUV;0
TKM;95.38163282
TZA;1.094871793
UGA;6.447222213
GBR;0.005882353
UKR;13.15266671
USA;22.68825414
BFA;159.2976201
URY;7.95312503
UZB;74.40294107
VCT;0
VEN;36.62960509
VGB;0
VNM;14.70370369
VIR;0
NAM;50.06249981
WLF;0
WSM;0
SWZ;18.1500001
YEM;50.97857147
ZMB;35.71874996
ZWE;49.42647092
IDN;0.486419749
GLP;0
ANT;0
ARE;172.8142875
TLS;0
PCN;0
PLW;0
MHL;0
SPM;0
SHN;0
SMR;0
TCA;0
ESH;83.41904695
SRB;25.88125002
VAT;0
SJM;0
MAF;0
BLM;0
GGY;0
JEY;0
SGS;0
TWN;0
